,MAKE,MODEL,TRIM_LEVEL,BODY_TYPE,FUEL_TYPE,TRANSMISSION,NUMBER_OF_DOORS,DRIVEN_WHEELS,ENGINE_SIZE,POWER_TRAIN_TYPE,BATTERY_CAPACITY_KWH,MAX_POWER_HP,MAX_POWER_KW,SECONDARY_VERSION
0,,,AMG Line Premium Edition,,,Auto,4dr,,,,,,,A180
1,,,Sport Executive,,,Auto,4dr,,,,,,,A180
2,,,AMG Line Premium Plus,,,9G-Tronic,2dr,,,,,,,C300d
3,Mercedes-benz,C Class,AMG Line,Saloon,,9G-Tronic,4dr,,,,,,,C300
4,,208,,,,,,,,,,,,
5,MB,,AMG Line Night Edition,Saloon,,,,,,,,,,E220d
6,Mercedes-benz,S Class,AMG Line Premium Exec,Saloon,Diesel,9G-Tronic,4dr,4Matic,,,,,,S400d
7,Mercedes-benz,B Class,Sport Executive,Hatchback,,Auto,5dr,,,,,,,B200
8,,,AMG Line Executive,,,,,,,,,,,GLA200
9,,Partner,PREMIUM,,,,,,,,,,,
10,,308,GT,Estate,PureTech,EAT8,5dr,,1.2,,,,,
11,,500,RED,CABRIOLET,,,,,,BEV,42KWH,,,
12,,500,,,,,,,,BEV,42 kWh,,,
13,FIAT,500X,SPORT,,,,,,,,,,,
14,,500X,,,,,,,,,,,,
15,,500X,CROSS,,,,,,"1,0",,,120 ch,,
16,,500X,,,,,,,,,,,,
17,Peugeot,508,Sport Engineered,,,,,,,,,,,
18,Audi,A4,S line,,TFSI,S tronic,,quattro,,,,245 PS,,45
19,Audi,A4,S line,,TDI,S tronic,,,,,,163 PS,,35
20,Audi,A4,Sport Edition,,TDI,S tronic,,,,,,163 PS,,35
21,Audi,A6,S line,,TDI,S tronic,,,,,,204 PS,,40
22,Audi,A6,S line,Avant,TFSI,S tronic,,quattro,,,,265 PS,,45
23,ABARTH,124 Spider,GT,cabriolet,unleaded,manual,2 door,RWD,,,,,125kW,
24,ALFA ROMEO,GIULIA,SPRINT+,saloon,unleaded,automatic,4 dr,RWD,2.0,,,,147KW,
25,ALFA ROMEO,GIULIETTA,SPRINT,hatchback,JTDM,manual,5 portes,FWD,1.6,,,,,
26,ALFA ROMEO,Giulia,Business,saloon,Diesel,automatic,4 dr,RWD,2.2,,,,118 kW,
27,ALFA ROMEO,Giulia,Nring,saloon,premium unleaded,automatic,4 dr,RWD,2.9,,,510ch,,
28,ALFA ROMEO,Giulia,Super,saloon,diesel,manual,4 dr,RWD,2.2,,,150ch,,
29,ALFA ROMEO,Giulia,Super,saloon,Diesel,manual,4 dr,RWD,2.2,,,160CV,118kW,
30,ALFA ROMEO,Giulietta,Super,hatchback,unleaded,manual,5 portes,FWD,1.4,,,150ch,,
31,ALFA ROMEO,STELVIO,SPORT EDITION,sports utility vehicle,D,automatic,5 portes,RWD,2.2,,,190,,
32,ALFA ROMEO,STELVIO,TI,sports utility vehicle,unleaded,automatic,5 portes,AWD,2.0,,,,206KW,
33,ALFA ROMEO,Stelvio,Estrema,sports utility vehicle,petrol,automatic,5 portes,AWD,2.0,,,280hp,,
34,ALFA ROMEO,Stelvio,Quadrifoglio,sports utility vehicle,unleaded,automatic,5 portes,AWD,2.9L,,,510CV,375kW,
35,ALPINA,B7,,saloon,premium unleaded,automatic,4 dr,AWD,4.4,,,,,
36,ALPINE,A110,Legende,coupe,unleaded,automatic,2 door,RWD,1.8,,,,,
37,ALPINE,A110,Légende,coupe,unleaded,automatic,2 door,RWD,,,,,,
38,AUDI,A1,,SPORTBACK,TFSI,manual,5 portes,FWD,1.0,,,,,25
39,AUDI,A1,,Sportback,TFSI,automatic,5 portes,FWD,,,,,,40
40,AUDI,A1,ADRENALIN CITYCARVER,hatchback,TFSI,automatic,5 portes,FWD,1.5,,,,,35
41,AUDI,A1,allstreet,hatchback,TFSI,manual,5 portes,FWD,,,,,,35
42,AUDI,A1,AMBIENTE,hatchback,TFSI,manual,3 doors,FWD,1.4,,,,,
43,AUDI,A1,AMBITION LUXE,hatchback,TFSI,manual,3 doors,FWD,1.0,,,,,
44,AUDI,A1,Base,Sportback,TFSI,manual,5 portes,FWD,,,,,,35
45,AUDI,A1,BLACK LINE CITYCARVER,hatchback,TFSI,automatic,5 portes,FWD,1.5,,,,,35
46,AUDI,A3,,CABRIO,TFSI,manual,2 door,FWD,1.5,,,,,35
47,AUDI,A3,,saloon,TDI,manual,4 dr,FWD,2.0,,,,,
